iter	Logloss
0	0.656743396
1	0.6260198273
2	0.5997972198
3	0.5781726379
4	0.559625296
5	0.543871814
6	0.5312549377
7	0.5198391846
8	0.5119808197
9	0.5034748962
10	0.4958080322
11	0.4905809021
12	0.4861350708
13	0.4808631989
14	0.4766445679
15	0.4728927063
16	0.4704008026
17	0.4684400177
18	0.4664290405
19	0.4641108551
20	0.4619436523
21	0.4607072906
22	0.4590856873
23	0.4580708252
24	0.4565719543
25	0.4554602722
26	0.454497049
27	0.4538556122
28	0.4533281158
29	0.4529013062
30	0.452139798
31	0.4516754486
32	0.4510934692
33	0.4505263428
34	0.4499567505
35	0.449669986
36	0.4492831116
37	0.4487648712
38	0.4483536469
39	0.4479315216
40	0.4475720673
41	0.4472936554
42	0.4470844818
43	0.4468145569
44	0.4466402618
45	0.4463469147
46	0.446154007
47	0.4459486023
48	0.4458012329
49	0.445572757
50	0.4453966095
51	0.4451085266
52	0.4448561096
53	0.4446678223
54	0.4443260101
55	0.4441164734
56	0.443808905
57	0.4436941406
58	0.4435406921
59	0.4433715393
60	0.4432380035
61	0.4431223297
62	0.4429752075
63	0.4427608765
64	0.4426209717
65	0.4425060089
66	0.4423880707
67	0.4421673645
68	0.4420215607
69	0.4419187683
70	0.4417613129
71	0.4416234833
72	0.4414885742
73	0.4413297058
74	0.4412407318
75	0.4411224243
76	0.4410028442
77	0.440879718
78	0.4407414703
79	0.4406206116
80	0.4404396912
81	0.4403287018
82	0.4402252228
83	0.4401169373
84	0.4400139191
85	0.4399105865
86	0.4397958618
87	0.4396867096
88	0.4395772217
89	0.4394656738
90	0.4394151031
91	0.4392506561
92	0.4391437958
93	0.4390588013
94	0.4389971283
95	0.4388831299
96	0.4387294708
97	0.438625769
98	0.4385503174
99	0.4383100372
100	0.4381851532
101	0.4380951172
102	0.4380312103
103	0.4379273224
104	0.4378122498
105	0.4377401215
106	0.4376661316
107	0.4375318726
108	0.4374392639
109	0.4372754517
110	0.437214267
111	0.4371300354
112	0.437056604
113	0.4369599243
114	0.4368507629
115	0.4367616852
116	0.4366897797
117	0.4365871399
118	0.4363932831
119	0.4362906464
120	0.4362113281
121	0.4361217316
122	0.436025769
123	0.4358718292
124	0.4357834961
125	0.4355979645
126	0.4354960358
127	0.4354351715
128	0.4353709686
129	0.4353092896
130	0.4352241272
131	0.4351523438
132	0.4350557922
133	0.4349279968
134	0.4348429749
135	0.4347336456
136	0.4346534973
137	0.4345811523
138	0.4344961334
139	0.434362149
140	0.4342736389
141	0.4341715332
142	0.4340812927
143	0.434045285
144	0.4339464783
145	0.4338719879
146	0.433692868
147	0.4336288757
148	0.4335605682
149	0.4334705658
150	0.4333992615
151	0.4333435028
152	0.4332703857
153	0.4331354767
154	0.4330409393
155	0.4329799286
156	0.4328903412
157	0.4328263733
158	0.4327749115
159	0.4326986206
160	0.4326203278
161	0.4325489563
162	0.4324768585
163	0.4323594666
164	0.4322864624
165	0.4322291473
166	0.432159494
167	0.4320685944
168	0.4319683807
169	0.4318539764
170	0.431747702
171	0.4316734894
172	0.4316060028
173	0.431524054
174	0.4314287842
175	0.4313319946
176	0.4312261871
177	0.4311096649
178	0.4310235077
179	0.4309376617
180	0.4308697327
181	0.4307716064
182	0.4306998383
183	0.4305903961
184	0.4305250641
185	0.4304283661
186	0.4303420959
187	0.4302694397
188	0.4301819946
189	0.4300996185
190	0.4300200348
191	0.4299377197
192	0.4298462219
193	0.4297673462
194	0.4296648163
195	0.429598645
196	0.4295059662
197	0.4294238861
198	0.4293684906
199	0.4292797821
200	0.4291896515
201	0.4291158478
202	0.4290515259
203	0.4289506775
204	0.4288565857
205	0.428786557
206	0.4287214783
207	0.4286493774
208	0.428574881
209	0.4284918304
210	0.4284049347
211	0.4283374176
212	0.4282243652
213	0.4281586945
214	0.4280962616
215	0.4280247711
216	0.4279529053
217	0.4278723511
218	0.4277728638
219	0.4277030945
220	0.4276139648
221	0.4275456146
222	0.4274798157
223	0.4273943817
224	0.4273105194
225	0.4272362701
226	0.4271263306
227	0.4270516418
228	0.4269296509
229	0.4268816437
230	0.4268204651
231	0.4267453186
232	0.4266800232
233	0.4266037994
234	0.4265465088
235	0.426456601
236	0.4263967865
237	0.4263357269
238	0.4262854523
239	0.4262216522
240	0.4261460602
241	0.4260650116
242	0.4260152405
243	0.425919281
244	0.4258526184
245	0.4257729797
246	0.4257053284
247	0.4256452423
248	0.4255789764
249	0.4255135925
250	0.4254403564
251	0.425377829
252	0.4253196991
253	0.4252534698
254	0.4251922638
255	0.4251319
256	0.4250687561
257	0.4249902222
258	0.4249090729
259	0.4248137573
260	0.4247523621
261	0.4246546631
262	0.4245956909
263	0.4245353088
264	0.4244826263
265	0.4244055389
266	0.4243196472
267	0.4242592133
268	0.424198349
269	0.4241425903
270	0.4240693573
271	0.4240143066
272	0.4239380554
273	0.4238684937
274	0.4238212799
275	0.423760968
